name,email,company,country
[RECIPIENT_1],[EMAIL_1],[COMPANY_1],[COUNTRY_1]
[RECIPIENT_2],[EMAIL_2],[COMPANY_2],[COUNTRY_2]
[RECIPIENT_3],[EMAIL_3],[COMPANY_3],[COUNTRY_3]
[RECIPIENT_4],[EMAIL_4],[COMPANY_4],[COUNTRY_4]
[RECIPIENT_5],[EMAIL_5],[COMPANY_5],[COUNTRY_5]
[RECIPIENT_6],[EMAIL_6],[COMPANY_6],[COUNTRY_6]
[RECIPIENT_7],[EMAIL_7],[COMPANY_7],[COUNTRY_7]
[RECIPIENT_8],[EMAIL_8],[COMPANY_8],[COUNTRY_8]
[RECIPIENT_9],[EMAIL_9],[COMPANY_9],[COUNTRY_9]
[RECIPIENT_10],[EMAIL_10],[COMPANY_10],[COUNTRY_10]
